branch_id,employee_id,year,quarter,quota,actual_revenue,attainment_pct
1,2,2022,1,83389.0,79303.46,95.1
1,2,2022,2,79717.0,72810.22,91.3
1,2,2022,3,109732.0,97604.02,88.9
1,2,2022,4,80972.0,90877.15,112.2
1,3,2022,1,80374.0,79461.35,98.9
1,3,2022,2,82244.0,83039.31,101.0
1,3,2022,3,94842.0,84063.05,88.6
1,3,2022,4,80276.0,85612.64,106.6
1,5,2022,1,89136.0,95882.41,107.6
1,5,2022,2,59758.0,66629.5,111.5
1,5,2022,3,98409.0,97129.96,98.7
1,5,2022,4,83440.0,88291.94,105.8
1,6,2022,1,75968.0,87398.49,115.0
1,6,2022,2,69856.0,76142.39,109.0
1,6,2022,3,140113.0,121434.06,86.7
1,6,2022,4,100610.0,93434.19,92.9
1,7,2022,1,88370.0,73531.67,83.2
1,7,2022,2,69262.0,70076.43,101.2
1,7,2022,3,68691.0,81110.58,118.1
1,7,2022,4,90154.0,104976.54,116.4
1,18,2022,1,96268.0,94334.85,98.0
1,18,2022,2,110633.0,91691.77,82.9
1,18,2022,3,88480.0,87233.68,98.6
1,18,2022,4,116074.0,94309.48,81.2
1,83,2022,1,92337.0,99405.86,107.7
1,83,2022,2,80989.0,92661.59,114.4
1,83,2022,3,78263.0,75378.45,96.3
1,83,2022,4,109268.0,104919.27,96.0
1,104,2022,1,85357.0,88924.16,104.2
1,104,2022,2,83014.0,99390.23,119.7
1,104,2022,3,61755.0,72183.45,116.9
1,104,2022,4,130135.0,119788.36,92.0
1,161,2022,1,65176.0,73862.35,113.3
1,161,2022,2,63014.0,65924.3,104.6
1,161,2022,3,72702.0,85400.77,117.5
1,161,2022,4,120070.0,106900.7,89.0
1,238,2022,1,93630.0,81496.67,87.0
1,238,2022,2,117365.0,106231.16,90.5
1,238,2022,3,80070.0,80904.9,101.0
1,238,2022,4,96953.0,106446.46,109.8
1,279,2022,1,64804.0,55132.72,85.1
1,279,2022,2,101687.0,90488.6,89.0
1,279,2022,3,81963.0,77761.65,94.9
1,279,2022,4,126043.0,112189.99,89.0
